,name,link,min_salary,max_salary,currency,source_site
60,"Python Software Engineer (Middle, Senior, Lead)",https://hh.ru/vacancy/52047342?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,260000.0,500000.0,руб.,https://hh.ru
61,Data Scientist (Контентный анализ),https://hh.ru/vacancy/49722298?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
62,Senior Data Scientist/Machine Learning Engineer,https://hh.ru/vacancy/47709863?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
63,Data Scientist at Recommender System (remote/relocate),https://hh.ru/vacancy/50819678?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,3500.0,,EUR,https://hh.ru
64,Data Scientist,https://hh.ru/vacancy/52046756?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
65,ML Engineer/ Data Scientist (WAF),https://hh.ru/vacancy/48285490?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
66,Data scientist (middle/senior),https://hh.ru/vacancy/51812421?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
67,Data Scientist (middle/senior),https://hh.ru/vacancy/52055303?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
68,Data Scientist,https://hh.ru/vacancy/52046750?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
69,Senior data scientist,https://hh.ru/vacancy/49744980?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,150000.0,,руб.,https://hh.ru
70,Data Scientist,https://hh.ru/vacancy/50530305?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
71,ML Engineer/ Data Scientist (WAF),https://hh.ru/vacancy/48285480?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
72,Data Scientist,https://hh.ru/vacancy/50113406?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
73,Senior Data Scientist,https://hh.ru/vacancy/52105777?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
74,Data Scientist,https://hh.ru/vacancy/52046749?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
75,Data Scientist,https://hh.ru/vacancy/46059292?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
76,Data Scientist в области рекомендательных систем,https://hh.ru/vacancy/47342740?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
77,Middle/Senior Data Scientist,https://hh.ru/vacancy/52123235?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
78,Data scientist,https://hh.ru/vacancy/50329104?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
79,Senior Research Engineer / Data Scientist,https://hh.ru/vacancy/50996908?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
80,Data Scientist,https://hh.ru/vacancy/50922463?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
81,Senior Data scientist (Computer Vision),https://hh.ru/vacancy/47357797?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
82,Quantitative Research Intern,https://hh.ru/vacancy/49259597?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
83,Data Scientist,https://hh.ru/vacancy/51774155?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,1000.0,3000.0,USD,https://hh.ru
84,Data Engineer (Amber team),https://hh.ru/vacancy/50879799?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,250000.0,,руб.,https://hh.ru
85,Data Scientist,https://hh.ru/vacancy/51774166?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,1000.0,3000.0,USD,https://hh.ru
86,Data Scientist,https://hh.ru/vacancy/49274814?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
87,Senior Research Scientist,https://hh.ru/vacancy/52041517?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
88,Data Scientist (Sberbank Corporate),https://hh.ru/vacancy/51935149?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
89,Lead Data Scientist,https://hh.ru/vacancy/49642907?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
90,Data scientist (Marketing),https://hh.ru/vacancy/50707483?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
91,Data Scientist,https://hh.ru/vacancy/52046757?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
92,Senior Data Scientist,https://hh.ru/vacancy/48136307?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
93,Senior Data Scientist (Центр розничного моделирования),https://hh.ru/vacancy/52074419?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
94,"Data Scientist (NLP, Python data engineering)",https://hh.ru/vacancy/51106151?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
95,Программист Python / Data Scientist (junior / middle уровень),https://hh.ru/vacancy/51883524?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,60000.0,100000.0,руб.,https://hh.ru
96,Руководитель направления data governance,https://hh.ru/vacancy/51990894?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
97,Data Engineer,https://hh.ru/vacancy/48995237?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
98,Data Scientist (NLP),https://hh.ru/vacancy/51892385?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,120000.0,150000.0,руб.,https://hh.ru
99,Junior Data scientist по разработке моделей оценки кредитного риска для клиентов,https://hh.ru/vacancy/49725181?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
100,Data Engineer (SQL),https://hh.ru/vacancy/49929584?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
101,Middle Data Scientist,https://hh.ru/vacancy/51866552?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
102,"Data Scientist, Поиск",https://hh.ru/vacancy/51804231?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
103,Lead data scientist,https://hh.ru/vacancy/49970105?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,300000.0,,руб.,https://hh.ru
104,Data Scientist,https://hh.ru/vacancy/50108323?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,350000.0,руб.,https://hh.ru
105,Data Scientist,https://hh.ru/vacancy/51789908?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
106,Power BI Analyst,https://hh.ru/vacancy/51742956?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
107,Data scientist,https://hh.ru/vacancy/43183814?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
108,Data Analyst,https://hh.ru/vacancy/51851223?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
109,"Эксперт/ главный специалист (Data scientist), Управление модельных рисков и валидации",https://hh.ru/vacancy/50986854?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
110,Аналитик/Data Scientist,https://hh.ru/vacancy/51895906?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
111,Data scientist,https://hh.ru/vacancy/50752857?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
112,Data Scientist (SberDevices),https://hh.ru/vacancy/51784863?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
113,Junior/Middle Data Scientist/ML,https://hh.ru/vacancy/45694394?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
114,Data Scientist,https://hh.ru/vacancy/48969689?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
115,Python Developer (BI Team),https://hh.ru/vacancy/50747625?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
116,ML-инженер/Machine Learning Engineer/Data Scientist,https://hh.ru/vacancy/51722603?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,120000.0,,руб.,https://hh.ru
117,Data Scientist / Математик-программист,https://hh.ru/vacancy/50957412?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
118,Data Engineer (SQL),https://hh.ru/vacancy/49929595?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
119,Senior Data Scientist,https://hh.ru/vacancy/47498876?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
120,Data Science Specialist,https://hh.ru/vacancy/51852990?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
121,Data Scientist (Pricing),https://hh.ru/vacancy/51638097?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
